fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,best_fitness_mean,best_fitness_std,mean_accuracy_mean,mean_accuracy_std,best_accuracy_mean,best_accuracy_std,best_accuracy_min,best_accuracy_max,best_mse_chance_mean,best_mse_chance_std,best_mse_chance_min,best_mse_chance_max,mean_mse_chance_mean,mean_mse_chance_std,mean_mse_chance_min,mean_mse_chance_max,best_mse_utility_mean,best_mse_utility_std,best_mse_utility_min,best_mse_utility_max,mean_mse_utility_mean,mean_mse_utility_std,mean_mse_utility_min,mean_mse_utility_max
margin,top70,1,5,20,7.60,0.80,7,9,0.000000,0.000000,53.36,2.23,86.00,2.00,85.00,90.00,0.814091,0.117965,0.645204,0.952456,1.711415,0.145029,1.442451,1.875354,9.086565,1.301948,6.855706,10.760338,20.516795,1.934022,17.296571,22.487799
margin,top70,2,10,20,10.80,2.32,7,14,0.000000,0.000000,58.49,3.51,87.00,7.48,75.00,95.00,0.800681,0.275429,0.545550,1.139489,1.728510,0.336554,1.242474,2.169429,8.860710,2.142053,5.327090,11.861311,21.007554,1.475887,18.333086,22.677008
margin,top70,4,20,20,19.60,3.32,13,22,0.000000,0.000000,63.54,6.78,90.00,4.47,85.00,95.00,0.943446,0.263645,0.629277,1.389488,1.759816,0.174062,1.517703,1.950005,12.939192,2.282773,8.696139,15.330776,23.003967,0.837271,22.030554,24.225004
margin,top70,8,40,20,22.60,1.36,21,25,0.000000,0.000000,71.85,5.16,92.00,4.00,85.00,95.00,0.994320,0.350698,0.546757,1.538958,1.769544,0.361408,1.337893,2.303113,11.623250,3.620414,6.037895,16.994019,21.436806,3.854398,15.721967,25.660234
margin,top70,12,60,20,35.20,7.73,26,47,0.000000,0.000000,85.55,4.26,95.00,3.16,90.00,100.00,0.952860,0.249400,0.487763,1.199867,1.614298,0.413588,0.923094,2.077072,12.097945,3.018488,7.918568,15.934815,17.392069,3.946511,13.254661,23.340973
margin,top90,1,5,20,18.60,3.20,14,22,0.000000,0.000000,56.47,5.24,86.00,3.74,80.00,90.00,0.765346,0.093383,0.646787,0.912780,1.650773,0.152828,1.391973,1.788123,8.452061,1.260744,7.054425,10.449112,22.210031,2.574088,17.440711,24.763371
margin,top90,2,10,20,21.00,2.00,17,22,0.000000,0.000000,62.06,6.49,90.00,4.47,85.00,95.00,1.117763,0.310081,0.768413,1.690585,2.130115,0.232109,1.840937,2.535065,6.416624,0.946697,5.536608,7.982436,17.547335,2.228885,15.277425,21.159794
margin,top90,4,20,20,22.00,0.00,22,22,0.000000,0.000000,62.26,7.78,88.00,7.48,75.00,95.00,0.893767,0.250953,0.613146,1.200312,1.727017,0.228967,1.466067,2.084603,12.967991,4.827433,8.135877,21.429085,22.819621,4.014791,15.965643,27.526410
margin,top90,8,40,20,28.20,5.38,22,34,0.000000,0.000000,77.61,8.79,94.00,4.90,85.00,100.00,1.070709,0.163795,0.907403,1.382774,1.778119,0.308487,1.239208,2.141421,13.497558,5.550180,7.919876,22.406977,23.198884,4.262257,18.274247,30.818527
margin,top90,12,60,20,33.00,3.16,28,37,0.362175,0.724351,86.84,3.43,96.00,2.00,95.00,100.00,0.968143,0.313668,0.639839,1.520037,1.626708,0.439084,1.154578,2.388656,10.691785,3.404919,5.209529,15.404584,16.480830,1.807201,13.598256,18.762109
softmax,top10,1,5,20,1.60,0.49,1,2,0.000119,0.000024,51.51,1.86,84.00,2.00,80.00,85.00,0.579604,0.104573,0.416465,0.722939,1.528857,0.020213,1.502093,1.561114,5.720496,1.127659,4.114815,7.057027,18.157321,0.968464,16.532576,19.386620
softmax,top10,2,10,20,7.20,2.32,4,11,0.000274,0.000136,54.44,1.82,90.00,6.32,85.00,100.00,0.735216,0.098863,0.579461,0.823339,1.568596,0.118448,1.440806,1.781071,6.400856,1.226937,4.623781,8.011240,19.214639,1.797010,17.805733,22.616638
softmax,top10,4,20,20,11.40,3.01,8,17,0.000316,0.000079,59.73,2.68,87.00,2.45,85.00,90.00,0.747442,0.181215,0.486919,1.037520,1.726401,0.188751,1.502864,1.976038,8.669101,3.831995,4.290536,15.184811,19.167049,4.588962,10.890412,24.647937
softmax,top10,8,40,20,18.00,3.79,15,25,0.005712,0.010454,73.41,1.95,95.00,5.48,85.00,100.00,0.990485,0.282183,0.485755,1.358222,1.712566,0.320824,1.124178,2.026427,11.492513,2.083227,8.602337,15.068574,23.339873,2.131683,20.481389,25.848604
softmax,top10,12,60,20,30.20,3.66,25,36,0.412106,0.494019,84.57,6.51,98.00,2.45,95.00,100.00,1.076510,0.392601,0.609924,1.637286,1.751109,0.384844,1.148874,2.131414,13.733317,3.572381,8.330362,18.170957,21.632700,4.201221,17.522931,29.350056
softmax,top30,1,5,20,5.00,0.63,4,6,0.000048,0.000002,54.14,4.54,86.00,6.63,75.00,95.00,0.740494,0.116805,0.593151,0.926826,1.638867,0.055363,1.547191,1.709043,7.752144,1.465143,5.639294,9.590592,19.834255,1.816440,17.580090,22.736983
softmax,top30,2,10,20,8.20,2.32,4,11,0.000099,0.000014,57.38,5.10,88.00,6.00,80.00,95.00,0.730924,0.079855,0.585433,0.819469,1.607633,0.110642,1.482265,1.790012,7.403961,2.820372,3.206229,11.219844,20.075116,1.829611,17.790742,22.017723
softmax,top30,4,20,20,16.60,4.36,10,23,0.000191,0.000005,65.02,4.66,88.00,4.00,85.00,95.00,0.896062,0.160200,0.675990,1.140670,1.775919,0.305059,1.305304,2.246369,11.207229,3.493395,6.648322,15.492438,24.474429,2.674061,20.664928,27.904622
softmax,top30,8,40,20,22.60,2.58,19,26,0.001760,0.002407,78.43,5.28,93.00,4.00,85.00,95.00,1.104332,0.346830,0.559673,1.578014,1.939535,0.195782,1.593049,2.201992,13.571624,4.003732,9.169780,19.459800,22.049965,3.943820,17.261746,27.533016
softmax,top30,12,60,20,31.00,8.02,20,41,0.462394,0.567495,86.60,7.88,97.00,2.45,95.00,100.00,1.104006,0.214576,0.763679,1.372531,1.875517,0.297823,1.280421,2.045910,14.197452,3.501770,7.941950,17.552599,19.340952,3.742202,14.054382,25.550297
softmax,top70,1,5,20,7.40,0.49,7,8,0.000046,0.000000,52.68,3.41,81.00,4.90,75.00,85.00,0.743216,0.170778,0.574104,1.017254,1.705612,0.147273,1.518335,1.888959,7.607026,1.709047,4.739048,10.006352,20.324266,2.102357,17.370850,23.839903
softmax,top70,2,10,20,12.00,3.58,7,18,0.000091,0.000001,59.98,3.87,89.00,4.90,85.00,95.00,0.841892,0.095298,0.740603,1.002653,1.652036,0.169719,1.459578,1.880009,9.268697,1.475654,7.391229,11.845409,21.356807,2.956037,18.647442,26.375961
softmax,top70,4,20,20,17.00,7.24,11,31,0.008804,0.017240,61.65,3.18,84.00,2.00,80.00,85.00,0.833307,0.297428,0.406390,1.317180,1.790667,0.234174,1.547501,2.146159,11.078776,0.748547,9.771271,11.967065,21.169739,3.399204,16.891221,25.499357
softmax,top70,8,40,20,24.00,9.10,15,36,0.067614,0.095703,78.70,7.31,97.00,2.45,95.00,100.00,1.187900,0.222987,0.920095,1.468738,1.953976,0.356409,1.344839,2.444445,13.491956,0.927758,12.309000,14.309445,20.736749,2.478061,17.315200,23.771818
softmax,top70,12,60,20,24.20,8.75,13,35,0.936249,0.823831,74.74,10.88,95.00,0.00,95.00,95.00,1.164525,0.415204,0.824710,1.969854,2.021533,0.568283,1.327856,3.027330,12.702723,4.327415,6.396929,18.152327,20.761703,3.500056,14.019915,23.076616
softmax,top90,1,5,20,9.60,0.49,9,10,0.000045,0.000000,51.68,3.18,84.00,2.00,80.00,85.00,0.774791,0.114061,0.658705,0.938152,1.577485,0.105786,1.402957,1.686146,11.119706,2.481910,8.951374,15.573009,21.749566,2.296034,18.976596,25.281902
softmax,top90,2,10,20,14.00,2.68,11,19,0.000091,0.000000,66.19,3.47,95.00,0.00,95.00,95.00,0.791449,0.084319,0.677895,0.900849,1.697298,0.124879,1.539366,1.878940,9.693064,1.689357,7.136875,12.330523,20.862816,2.932162,16.827303,23.909567
softmax,top90,4,20,20,23.20,4.66,16,30,0.000183,0.000002,69.09,6.47,93.00,5.10,85.00,100.00,1.119454,0.360672,0.535667,1.474799,1.903266,0.175186,1.605793,2.142267,12.214570,3.235136,8.237473,17.955069,20.120866,5.642240,12.293808,27.466447
softmax,top90,8,40,20,31.20,6.73,24,44,0.000376,0.000010,75.16,4.06,91.00,4.90,85.00,95.00,0.910065,0.126173,0.670484,1.033715,1.486983,0.170073,1.193789,1.675129,13.248868,4.033140,8.868184,18.488916,19.580501,1.844632,16.293329,21.899339
softmax,top90,12,60,20,24.40,7.53,15,33,0.632892,0.581728,79.24,8.98,97.00,2.45,95.00,100.00,0.910347,0.194099,0.692622,1.257724,1.466287,0.331407,0.965456,1.860087,12.423650,3.909379,7.421340,18.699744,22.666591,5.121041,17.418607,28.997159
regret_reg,top10,1,5,20,100.00,0.00,100,100,0.215031,0.049884,54.77,9.84,63.00,12.08,50.00,85.00,0.780374,0.215259,0.510057,1.129499,0.822915,0.205507,0.572263,1.160000,3.218590,0.963628,1.454273,4.181500,3.511565,1.025611,1.662018,4.600183
regret_reg,top10,2,10,20,100.00,0.00,100,100,0.259691,0.034676,66.27,4.67,71.00,4.90,65.00,75.00,0.582731,0.070162,0.497907,0.692267,0.611139,0.069880,0.531780,0.721924,4.099016,1.452586,1.863263,6.017669,4.472923,1.489023,2.161162,6.450443
regret_reg,top10,4,20,20,100.00,0.00,100,100,0.380069,0.056932,69.41,6.20,74.00,8.00,65.00,85.00,0.920800,0.220725,0.659483,1.207329,0.986680,0.206256,0.722538,1.243511,4.002130,1.344210,3.012436,6.639551,4.545625,1.438779,3.573892,7.397288
regret_reg,top10,8,40,20,100.00,0.00,100,100,0.719785,0.159958,79.25,4.80,84.00,4.90,75.00,90.00,0.875642,0.221586,0.593441,1.193476,0.928053,0.228099,0.655496,1.251759,5.579771,1.970314,3.214970,8.832164,5.975258,2.038363,3.562208,9.450379
regret_reg,top10,12,60,20,100.00,0.00,100,100,0.979530,0.173443,81.40,3.88,87.00,6.78,80.00,100.00,0.875764,0.168132,0.652235,1.041334,0.934728,0.184709,0.700619,1.124175,7.519193,3.041250,2.237518,11.715178,8.018114,3.247041,2.510521,12.682982
regret_reg,top30,1,5,20,100.00,0.00,100,100,0.209847,0.048790,58.82,7.83,63.00,7.48,55.00,75.00,0.746730,0.140092,0.479963,0.867008,0.788624,0.132177,0.533064,0.891429,3.771708,0.355986,3.389998,4.445184,4.106782,0.428168,3.772288,4.944234
regret_reg,top30,2,10,20,100.00,0.00,100,100,0.230888,0.047888,63.27,5.38,74.00,6.63,65.00,85.00,0.713051,0.118252,0.506507,0.846940,0.753771,0.120061,0.544294,0.877954,3.984834,0.803815,2.613468,4.838799,4.309098,0.783529,2.901503,5.045684
regret_reg,top30,4,20,20,100.00,0.00,100,100,0.401883,0.098751,70.85,7.98,77.00,7.48,65.00,85.00,0.568447,0.119775,0.406786,0.766744,0.598319,0.124960,0.427458,0.806106,4.046231,2.055083,2.121768,7.751115,4.554944,2.074928,2.376759,8.214525
regret_reg,top30,8,40,20,100.00,0.00,100,100,0.626437,0.147752,73.48,7.67,75.00,8.94,65.00,85.00,1.007784,0.108719,0.880550,1.197903,1.065936,0.105128,0.947685,1.245200,5.032870,1.065679,3.769647,6.891562,5.485904,1.001746,4.444983,7.195021
regret_reg,top30,12,60,20,100.00,0.00,100,100,0.973478,0.225338,83.25,2.38,87.00,5.10,80.00,95.00,0.992790,0.240944,0.623331,1.289949,1.078056,0.241872,0.738892,1.352262,9.956866,5.924340,2.584214,16.687478,10.731516,5.975788,3.340288,17.651042
regret_reg,top70,1,5,20,100.00,0.00,100,100,0.169310,0.023067,51.02,8.39,59.00,10.68,45.00,75.00,0.670292,0.099798,0.498694,0.797650,0.699189,0.104562,0.521281,0.824813,3.743086,0.832410,2.812353,5.158926,4.176558,0.724057,3.412473,5.460589
regret_reg,top70,2,10,20,100.00,0.00,100,100,0.213868,0.034037,47.85,8.96,53.00,7.48,45.00,65.00,0.656118,0.164925,0.439265,0.826807,0.694195,0.168602,0.478769,0.871600,2.956633,0.584585,2.204532,3.707205,3.235270,0.604582,2.505483,4.081283
regret_reg,top70,4,20,20,100.00,0.00,100,100,0.355442,0.049051,70.96,7.41,75.00,6.32,65.00,85.00,0.845363,0.192791,0.515757,1.027751,0.893994,0.209027,0.549115,1.130302,4.347696,2.687539,1.045713,7.943411,4.837461,2.942528,1.198687,8.273295
regret_reg,top70,8,40,20,100.00,0.00,100,100,0.613638,0.071280,82.34,7.33,86.00,4.90,80.00,95.00,0.776929,0.247645,0.528035,1.252209,0.827350,0.245028,0.572350,1.295865,3.782929,0.780736,2.340364,4.494571,4.112521,0.877276,2.608010,5.197146
regret_reg,top70,12,60,20,100.00,0.00,100,100,0.857822,0.173661,86.15,7.56,88.00,6.00,80.00,95.00,0.763626,0.096410,0.624451,0.909657,0.816369,0.087760,0.678767,0.936852,9.137890,4.172553,4.385488,13.943451,9.725587,4.242702,4.960320,14.739257
regret_reg,top90,1,5,20,100.00,0.00,100,100,0.193053,0.023467,55.65,12.85,62.00,11.66,45.00,80.00,0.763735,0.101236,0.624784,0.888932,0.800712,0.108525,0.652234,0.941598,3.195706,0.755742,2.335077,4.203567,3.447917,0.791128,2.556248,4.531812
regret_reg,top90,2,10,20,100.00,0.00,100,100,0.305074,0.046148,65.45,10.28,70.00,10.95,55.00,85.00,0.676061,0.147291,0.413069,0.844440,0.721505,0.147118,0.444621,0.868651,2.574631,1.413702,1.176345,5.172758,2.917372,1.486904,1.557826,5.643187
regret_reg,top90,4,20,20,100.00,0.00,100,100,0.417100,0.029501,61.04,7.77,66.00,6.63,55.00,75.00,0.845142,0.142183,0.635943,0.998236,0.887436,0.153449,0.659457,1.059811,3.470604,0.765567,2.856459,4.920686,3.859474,0.753727,3.216961,5.286339
regret_reg,top90,8,40,20,100.00,0.00,100,100,0.637264,0.243841,79.08,7.02,85.00,6.32,75.00,95.00,0.790175,0.200390,0.403330,0.944043,0.843345,0.221050,0.418314,1.015915,3.670299,2.012627,0.476451,6.469007,4.161232,2.205139,0.649453,7.281713
regret_reg,top90,12,60,20,100.00,0.00,100,100,1.012789,0.256283,83.51,8.47,85.00,7.07,75.00,95.00,0.755483,0.212882,0.535089,1.144100,0.811874,0.215106,0.565356,1.198517,7.793007,5.801658,2.517356,18.880439,8.202814,5.861304,2.929912,19.438823
regret,top10,1,5,20,1.00,0.00,1,1,0.000000,0.000000,51.45,2.08,83.00,2.45,80.00,85.00,0.496711,0.064276,0.416465,0.580448,1.508490,0.029525,1.467805,1.544349,6.171206,1.169171,4.490148,8.050272,18.626932,0.569366,17.760733,19.481594
regret,top10,2,10,20,1.00,0.00,1,1,0.000000,0.000000,51.45,2.08,83.00,2.45,80.00,85.00,0.496711,0.064276,0.416465,0.580448,1.508490,0.029525,1.467805,1.544349,6.171206,1.169171,4.490148,8.050272,18.626932,0.569366,17.760733,19.481594
regret,top10,4,20,20,2.00,0.89,1,3,0.000000,0.000000,51.29,2.14,84.00,2.00,80.00,85.00,0.606777,0.129286,0.483804,0.856443,1.547806,0.075051,1.467805,1.665075,6.210914,1.280902,4.267481,8.050272,17.516262,0.813598,16.669813,18.624416
regret,top10,8,40,20,6.40,1.20,5,8,0.000000,0.000000,58.41,2.14,91.00,4.90,85.00,95.00,0.619527,0.060640,0.557567,0.719943,1.621211,0.173600,1.291524,1.765757,6.675363,1.204791,5.051106,8.367720,18.051209,1.967559,14.714097,20.674316
regret,top10,12,60,20,13.40,1.50,12,16,0.000000,0.000000,70.03,5.09,97.00,6.00,85.00,100.00,0.939942,0.177916,0.754873,1.224825,1.787779,0.230335,1.412787,2.069142,11.211697,3.049289,8.256814,15.377142,25.617575,3.628523,18.473025,28.310858
regret,top30,1,5,20,1.00,0.00,1,1,0.000000,0.000000,51.45,2.08,83.00,2.45,80.00,85.00,0.496711,0.064276,0.416465,0.580448,1.508490,0.029525,1.467805,1.544349,6.171206,1.169171,4.490148,8.050272,18.626932,0.569366,17.760733,19.481594
regret,top30,2,10,20,2.20,1.17,1,4,0.000000,0.000000,51.70,2.27,86.00,5.83,80.00,95.00,0.601909,0.133060,0.442281,0.817038,1.529352,0.114806,1.346631,1.677298,6.056129,1.243876,4.490148,8.050272,18.309339,0.946941,16.434044,18.951167
regret,top30,4,20,20,8.60,2.42,4,11,0.000000,0.000000,57.80,3.12,89.00,4.90,85.00,95.00,0.800676,0.101272,0.667293,0.964019,1.726592,0.166840,1.523181,1.960447,9.082164,1.541632,7.849277,12.061741,19.376212,2.593910,16.986347,24.258763
regret,top30,8,40,20,10.80,2.23,9,15,0.000000,0.000000,65.79,4.23,91.00,4.90,85.00,95.00,0.830695,0.281447,0.582278,1.368245,1.635727,0.284910,1.164621,1.990420,7.780227,1.918955,5.664565,10.649695,16.609534,2.660013,11.740244,19.601102
regret,top30,12,60,20,16.40,2.42,13,20,0.000000,0.000000,83.34,6.10,99.00,2.00,95.00,100.00,1.002932,0.306927,0.560594,1.412315,1.631626,0.302821,1.116784,2.031693,14.071035,5.336251,8.478145,23.761694,20.670847,5.355992,13.841423,28.058935
regret,top70,1,5,20,4.00,0.89,3,5,0.000000,0.000000,53.90,2.52,85.00,0.00,85.00,85.00,0.703095,0.111147,0.565691,0.882073,1.537100,0.030199,1.492397,1.571866,5.422639,0.871271,3.800267,6.141843,19.371083,1.324388,17.427944,21.448108
regret,top70,2,10,20,7.60,0.80,7,9,0.000000,0.000000,55.45,3.15,89.00,4.90,85.00,95.00,0.642375,0.152692,0.471096,0.866115,1.560420,0.084241,1.479870,1.712395,6.193577,1.365444,4.494602,8.332666,19.801520,1.978100,17.925999,22.543257
regret,top70,4,20,20,11.40,1.20,10,13,0.000000,0.000000,61.36,3.94,90.00,4.47,85.00,95.00,0.775756,0.122942,0.587912,0.931698,1.869209,0.216412,1.655896,2.280118,8.838968,1.906492,6.235223,11.373422,19.076009,2.205795,16.153774,22.189038
regret,top70,8,40,20,18.20,3.06,13,22,0.000000,0.000000,79.68,8.52,97.00,6.00,85.00,100.00,1.004746,0.182436,0.739043,1.279572,1.823271,0.269447,1.342609,2.066516,6.847348,1.756547,5.039154,10.003470,20.185003,4.169502,14.133674,25.994134
regret,top70,12,60,20,18.60,2.06,15,21,0.000000,0.000000,92.06,5.80,99.00,2.00,95.00,100.00,1.007853,0.223750,0.710969,1.273702,1.748608,0.264318,1.465695,2.187053,12.910398,4.897340,6.848127,19.541617,20.325204,6.312400,11.054885,30.821969
regret,top90,1,5,20,9.80,1.94,8,13,0.000000,0.000000,57.02,2.02,90.00,4.47,85.00,95.00,0.729049,0.101321,0.579282,0.842263,1.634682,0.112364,1.512125,1.803383,7.221364,1.087320,5.412941,8.756072,17.307081,1.481393,14.526704,18.625974
